"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 19 15:21:46 MSK 2021","Sat Jun 19 15:21:49 MSK 2021","2922","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"passed","Sat Jun 19 15:23:46 MSK 2021","Sat Jun 19 15:23:50 MSK 2021","4253","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"passed","Sat Jun 19 15:21:15 MSK 2021","Sat Jun 19 15:21:19 MSK 2021","4846","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Sat Jun 19 15:20:44 MSK 2021","Sat Jun 19 15:20:47 MSK 2021","3243","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Sat Jun 19 15:20:56 MSK 2021","Sat Jun 19 15:20:59 MSK 2021","2798","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sat Jun 19 15:22:49 MSK 2021","Sat Jun 19 15:23:02 MSK 2021","12651","","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sat Jun 19 15:20:50 MSK 2021","Sat Jun 19 15:20:53 MSK 2021","2861","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Sat Jun 19 15:21:23 MSK 2021","Sat Jun 19 15:21:28 MSK 2021","5041","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"passed","Sat Jun 19 15:27:26 MSK 2021","Sat Jun 19 15:28:03 MSK 2021","37159","","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sat Jun 19 15:22:37 MSK 2021","Sat Jun 19 15:22:39 MSK 2021","1852","","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sat Jun 19 15:28:06 MSK 2021","Sat Jun 19 15:28:09 MSK 2021","2584","","test_main_page","TestLoginFromMainpage","","","test_guest_can_go_to_login_page",""
"skipped","Sat Jun 19 15:21:32 MSK 2021","Sat Jun 19 15:21:35 MSK 2021","2888","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sat Jun 19 15:22:42 MSK 2021","Sat Jun 19 15:22:46 MSK 2021","4006","","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Sat Jun 19 15:28:12 MSK 2021","Sat Jun 19 15:28:16 MSK 2021","4142","","test_main_page","TestLoginFromMainpage","","","test_guest_should_see_login_link",""
"passed","Sat Jun 19 15:21:38 MSK 2021","Sat Jun 19 15:21:43 MSK 2021","4995","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Sat Jun 19 15:21:02 MSK 2021","Sat Jun 19 15:21:05 MSK 2021","3032","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"skipped","Sat Jun 19 15:22:26 MSK 2021","Sat Jun 19 15:22:34 MSK 2021","7532","","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"skipped","Sat Jun 19 15:21:52 MSK 2021","Sat Jun 19 15:21:55 MSK 2021","2776","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sat Jun 19 15:21:58 MSK 2021","Sat Jun 19 15:22:23 MSK 2021","25138","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sat Jun 19 15:21:09 MSK 2021","Sat Jun 19 15:21:11 MSK 2021","2818","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Sat Jun 19 15:23:13 MSK 2021","Sat Jun 19 15:23:35 MSK 2021","21790","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
